complexity,sql,question
Simple,,Which Gaia telescope observed stars with a parallax greater than 1 milliarcsecond in Gaia DR3?
Simple,,"How many stars with proper motions in right ascension and declination are observed by the FGS telescope in Gaia DR3, and how many such stars are there for each combination of proper motions?"
Simple,,"What are the average parallaxes of stars observed by the RVS telescope in Gaia DR3, grouped by their right ascension and declination?"
Simple,,"How many stars with different G magnitudes were observed by the EM telescope in Gaia DR3, and what are the G magnitudes with more than 500 stars?"
Simple,,"What is the total parallax for stars observed by the FGS telescope in Gaia DR3, grouped by their right ascension and declination?"
Medium,SELECT COUNT(*) AS star_count FROM gaiadr3.gaia_source WHERE parallax > 0.1,How many stars have a parallax measurement greater than 0.1 milliarcseconds?
Medium,SELECT AVG(phot_g_mean_mag) AS avg_g_magnitude FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180,What is the average G-band magnitude for stars with right ascension between 0 and 180 degrees?
Medium,"SELECT ra, dec, SQRT(POWER(pmra, 2) + POWER(pmdec, 2)) AS proper_motion FROM gaiadr3.gaia_source WHERE pmra > 10 AND pmdec > 10","List the right ascension, declination, and the combined proper motion (in arcseconds per year) of stars with proper motion components greater than 10 milliarcseconds per year in both RA and Dec directions."
Medium,SELECT COUNT(DISTINCT pmra) AS unique_pmra_count FROM gaiadr3.gaia_source WHERE parallax BETWEEN 0.05 AND 0.15,How many unique proper motion values in right ascension are there for stars with parallax between 0.05 and 0.15 milliarcseconds?
Medium,"SELECT dec, AVG(parallax) AS avg_parallax FROM gaiadr3.gaia_source GROUP BY dec HAVING COUNT(*) > 1000 ORDER BY avg_parallax DESC LIMIT 10","Identify the 10 declination ranges that have the highest average parallax measurements, each containing more than 1000 stars."
Complex,"SELECT COUNT(*) AS star_count, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.01 AND pmra BETWEEN -10 AND 10 AND pmdec BETWEEN -10 AND 10 GROUP BY phot_g_mean_mag","How many stars with positive parallax greater than 0.01 mas, proper motion between -10 and 10 mas/yr in both RA and Dec, are there for each magnitude in the Gaia DR3 catalogue?"
Complex,"SELECT ra, dec, AVG(parallax) AS avg_parallax FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 15 AND 20 GROUP BY ra, dec","What is the average parallax for stars with a G magnitude between 15 and 20, grouped by their right ascension and declination in the Gaia DR3 catalogue?"
Complex,"SELECT ra, dec, COUNT(*) AS star_density FROM gaiadr3.gaia_source WHERE parallax > 0.02 AND phot_g_mean_mag < 10 GROUP BY ra, dec HAVING COUNT(*) > 100","How is the density of stars with parallax greater than 0.02 mas and G magnitude less than 10 distributed across the sky, considering only areas with more than 100 such stars in the Gaia DR3 catalogue?"
Complex,"SELECT pmra, pmdec, COUNT(*) AS proper_motion_count FROM gaiadr3.gaia_source WHERE parallax > 0.05 AND phot_g_mean_mag BETWEEN 5 AND 10 GROUP BY pmra, pmdec","How many stars with parallax greater than 0.05 mas and G magnitude between 5 and 10 have proper motions in both RA and Dec, grouped by their proper motion components in the Gaia DR3 catalogue?"
Complex,"SELECT ra, dec, phot_g_mean_mag, AVG(parallax) AS avg_parallax FROM gaiadr3.gaia_source WHERE pmra BETWEEN -5 AND 5 AND pmdec BETWEEN -5 AND 5 AND phot_g_mean_mag BETWEEN 10 AND 20 GROUP BY ra, dec, phot_g_mean_mag","What is the average parallax for stars with proper motion between -5 and 5 mas/yr in both RA and Dec, and G magnitude between 10 and 20, grouped by their right ascension, declination, and magnitude in the Gaia DR3 catalogue?"
Complex,"SELECT COUNT(*) AS star_count, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.01 AND pmra BETWEEN -10 AND 10 AND pmdec BETWEEN -10 AND 10 GROUP BY phot_g_mean_mag","How many stars with positive parallax greater than 0.01 mas, proper motion between -10 and 10 mas/yr in both RA and Dec, are there for each magnitude in the Gaia DR3 catalogue?"
Complex,"SELECT ra, dec, AVG(parallax) AS avg_parallax FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 15 AND 20 GROUP BY ra, dec","What is the average parallax for stars with a G magnitude between 15 and 20, grouped by their right ascension and declination in the Gaia DR3 catalogue?"
Complex,"SELECT ra, dec, COUNT(*) AS star_density FROM gaiadr3.gaia_source WHERE parallax > 0.02 AND phot_g_mean_mag < 10 GROUP BY ra, dec HAVING COUNT(*) > 100","How is the density of stars with parallax greater than 0.02 mas and G magnitude less than 10 distributed across the sky, considering only areas with more than 100 such stars in the Gaia DR3 catalogue?"
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 360",What are the right ascensions and declinations of stars within a single full circle in the sky?
Simple,SELECT parallax FROM gaiadr3.gaia_source WHERE parallax > 0.1,What is the parallax measurement for stars with a parallax greater than 0.1 milliarcseconds?
Simple,SELECT phot_g_mean_mag FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 10,What is the G-band magnitude for stars that are brighter than 10?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra > 10 AND pmdec > 10",What are the proper motions in right ascension and declination for stars with proper motions greater than 10 milliarcseconds per year in both directions?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 180,How many stars are located within the first half of the sky (0 to 180 degrees in right ascension)?
Simple,yanshi:  SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot_g_mean_mag BETWEEN 5 AND 10,How many stars have a G-band magnitude between 5 and 10?
Simple,[SELECT COUNT\(*) FROM gaiadr3.gaia_source WHERE phot\_g\_mean\_mag BETWEEN 5 AND 10],[How many stars have a G-band magnitude between 5 and 10?]
Simple,"SELECT ra, dec FROM gaiadr3.gaia_source WHERE ra BETWEEN 0 AND 360",What are the right ascensions and declinations of stars within a single full circle in the sky?
Simple,SELECT parallax FROM gaiadr3.gaia_source WHERE parallax > 0.1,What is the parallax measurement for stars with a parallax greater than 0.1 milliarcseconds?
Simple,SELECT phot\_g\_mean\_mag FROM gaiadr3.gaia\_source WHERE phot\_g\_mean\_mag < 10,What is the G-band magnitude for stars that are brighter than 10?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia\_source WHERE pmra > 10 AND pmdec > 10",What are the proper motions in right ascension and declination for stars with proper motions greater than 10 milliarcseconds per year in both directions?
Simple,SELECT COUNT\(*) FROM gaiadr3.gaia\_source WHERE ra BETWEEN 0 AND 180,How many stars are located within the first half of the sky (0 to 180 degrees in right ascension)?
Simple,SELECT COUNT(*) FROM gaiadr3.gaia_source WHERE phot\_g\_mean\_mag BETWEEN 5 AND 10,How many stars have a G-band magnitude between 5 and 10?
Simple,"SELECT ra, dec FROM gaiadr3.gaia\_source WHERE ra BETWEEN 0 AND 360",What are the right ascensions and declinations of stars within a single full circle in the sky?
Simple,SELECT parallax FROM gaiadr3.gaia\_source WHERE parallax > 0.1,What is the parallax measurement for stars with a parallax greater than 0.1 milliarcseconds?
Simple,SELECT phot\_g\_mean\_mag FROM gaiadr3.gaia\_source WHERE phot\_g\_mean\_mag < 10,What is the G-band magnitude for stars that are brighter than 10?
Simple,"SELECT pmra, pmdec FROM gaiadr3.gaia\_source WHERE pmra > 10 AND pmdec > 10",What are the proper motions in right ascension and declination for stars with proper motions greater than 10 milliarc
Medium,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE parallax > 0.1 AND phot_g_mean_mag < 15",Which stars in Gaia DR3 have a parallax greater than 0.1 milliarcseconds and a G magnitude less than 15?
Medium,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE pmra BETWEEN -100 AND 100 AND pmdec BETWEEN -100 AND 100","What stars in Gaia DR3 have proper motions (pmra, pmdec) between -100 and 100 milliarcseconds per year?"
Medium,"SELECT ra, dec, parallax, phot_g_mean_mag FROM gaiadr3.gaia_source WHERE ra BETWEEN 35 AND 45 AND dec BETWEEN -1 AND 1",Which stars in Gaia DR3 are located within a specific region in the sky with RA between 35 and 45 degrees and Dec between -1 and 1 degrees?
Medium,"SELECT ra, dec, parallax FROM gaiadr3.gaia_source WHERE phot_g_mean_mag < 11.0 AND parallax IS NOT NULL",What stars in Gaia DR3 have a G magnitude less than 11.0 and a non-null parallax value?
Medium,"SELECT ra, dec, pmra, pmdec FROM gaiadr3.gaia_source WHERE (pmra**2 + pmdec**2) ** 0.5 > 100",Which stars in Gaia DR3 have a proper motion magnitude (sqrt(pmra^2 + pmdec^2)) greater than 100 milliarcseconds per year?
